BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE
Brokered by Winzone Realty Inc,Co-op for sale,425000,3,2,1405,58-03 Calloway St Unit 2P2,"Corona, NY 11368"
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,10000000,5,4,6800,166 E 64th St,"New York, NY 10065"
Brokered by Byson Real Estate Company - Byson Real Estate Company,Co-op for sale,1525000,2,2,2184.207862,67 Riverside Dr Apt 1C,"New York, NY 10024"
Brokered by Brp Associates Inc,Multi-family home for sale,1499000,9,6,3519,2619 Shore Pkwy,"Brooklyn, NY 11223"
Brokered by COMPASS,Co-op for sale,695000,2,2,2184.207862,575 Park Ave Unit 1101,"Manhattan, NY 10065"
Brokered by Winzone Realty Inc,House for sale,1300000,3,2,2184.207862,246 Newman Ave,"Bronx, NY 10473"
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op for sale,269000,1,1,2184.207862,4901 Henry Hudson Pkwy W Apt 5F,"Bronx, NY 10471"
Brokered by Winzone Realty Inc,Co-op for sale,425000,3,2,1405,58-03 Calloway St Unit 2P2,"Corona, NY 11368"
Brokered by Brp Associates Inc,Multi-family home for sale,1499000,9,6,3519,2619 Shore Pkwy,"Brooklyn, NY 11223"
"Brokered by Robert DeFalco Realty, Inc.",House for sale,519000,3,2,1480,62 Simmons Ln,"Staten Island, NY 10314"
Brokered by Queens Quality Management,Co-op for sale,358000,2,1,2184.207862,212-79 16 Ave Unit 183,"Bayside, NY 11360"
